draw,production_kgco2e
1035,3915.364500208938
1036,4145.172882065286
1037,3522.880297024861
1038,4180.24819338266
1039,4208.2771377712725
1040,3875.5830139873824
1041,4409.693801649879
1042,4145.784048397415
1043,3909.911396877257
1044,3797.82881551447
1045,4301.367026407954
1046,4127.305417988816
1047,3688.5730473210715
1048,3971.0984439207023
1049,3898.1018017313118
1050,4012.5880290424484
1051,3975.5712138136278
1052,4521.49416377842
1053,4112.203776663909
1054,3964.897979281456
1055,3925.3832224363714
1056,4343.839994826239
1057,3844.0565650152926
1058,3977.762809995347
1059,4098.217575792753
1060,4256.010964072117
1061,3901.4621541754573
1062,3491.818557048491
1063,3996.0015846025162
1064,3907.3217759850804
1065,4006.8013338360242
1066,3875.816326128699
1067,3935.198120109143
1068,4162.890837627338
1069,4320.350855004708
1070,4067.3779160513595
1071,3766.559634598202
1072,4105.546635364008
1073,3844.9989793531104
1074,3932.4953586115766
1075,4058.583673041904
1076,3965.5741496601477
1077,4319.901750819472
1078,3756.423823800541
1079,4022.988891069789
1080,4425.899854170497
1081,3960.776447923728
1082,4313.142993302192
1083,4148.666583108632
1084,3857.842902021082
1085,3931.6569913022768
1086,3923.2542385742877
1087,3928.972695742498
1088,3578.0940530828257
1089,3779.6246008558455
1090,4506.884566894164
1091,4503.833705891952
1092,4200.107310305688
1093,4042.035811040313
1094,4027.177984678522
1095,3896.4202466204297
1096,3421.6561926851
1097,4070.270668885719
1098,3962.9126416627637
1099,3807.736513855348
1100,3827.993078104817
1101,3995.6673859218117
1102,3690.738357184975
1103,4126.172220344774
1104,3965.674804531688
1105,3646.361886986082
1106,3530.2123374935804
1107,4261.112488694473
1108,4220.480910926744
1109,3888.3943878163027
1110,3772.4707414105837
1111,4568.334237093027
1112,3966.1170626142366
1113,4515.7670155803935
1114,3826.0374696164263
1115,4227.671424545631
1116,3956.41891906993
1117,3827.242382652909
1118,4050.6883623510203
1119,4009.3878175500554
1120,3749.060548536052
1121,4488.08912479774
1122,4165.536223579256
1123,4121.518656140454
1124,3723.043042582326
1125,3867.552263838827
1126,4458.855636644281
1127,4062.9513258680063
1128,4239.492891139414
1129,3615.624906920854
1130,4083.144683050087
1131,4057.4921433751106
1132,3856.589337685754
1133,4063.4998328942306
1134,4065.5602980418726
1135,4217.295498486792
1136,3992.341228772132
1137,4091.086327912597
1138,3643.4068992372377
1139,4306.483023106266
1140,3666.9595051435817
1141,3944.8410097688443
1142,4021.1149838136753
1143,3864.6386142710962
1144,4105.2358398308925
1145,3955.263959709449
1146,3607.6942429188994
1147,4108.151279854753
1148,4070.3807637201053
1149,3779.4392871998502
1150,3401.3512547020555
1151,4100.249259393002
1152,4302.72275805317
1153,4581.082010035233
1154,4094.2044369531436
1155,4424.273909114622
1156,4094.2522418874332
1157,4158.3097333426995
1158,3960.805452746167
1159,4304.895736690593
1160,4119.264216588384
1161,3350.570858639357
1162,4078.5798727408273
1163,3826.206419733113
1164,3859.5731916755176
1165,4270.234483939825
1166,3940.1522074483064
1167,4164.807010670802
1168,4015.6412146616303
1169,4000.6296326639167
1170,3726.68622971465
1171,3598.8369756647367
1172,4189.205727540844
1173,4043.563948699316
1174,3659.015086590106
1175,3737.886599359778
1176,4481.561735188712
1177,3878.886104632861
1178,4480.947047820426
1179,3480.4143431123957
1180,4465.91949704877
1181,4039.497422073592
1182,4209.177019407103
1183,3681.463224608641
1184,3870.6609439032836
1185,4579.291254157776
1186,3704.5487484763407
1187,4662.232255821823
1188,3904.4489859227224
1189,4397.829695235206
1190,3804.788859802253
1191,3799.718877751604
1192,4458.380795332388
1193,4699.86854999364
1194,3655.705625063778
1195,4558.690861708245
1196,3767.521163824601
1197,3580.772608034682
1198,4111.635870268819
1199,3865.2971150878884
1200,4419.073929244708
1201,4112.809841020875
1202,3803.38073654248
1203,3559.679789038308
1204,3884.1471351147347
1205,3631.191861470861
1206,4458.654831051878
1207,4108.5550871585165
1208,3934.9694680737857
1209,4082.304491041893
1210,3800.8013428091135
1211,3448.1244954043523
1212,4030.0028653813724
1213,4121.862922870445
1214,3791.671139823302
1215,3685.6020997433607
1216,4016.0005703671295
1217,4216.591997107407
1218,3820.6493305047243
1219,4103.79092799279
1220,3626.10450790975
1221,4171.236245742051
1222,3995.599651015694
1223,4003.861615159719
1224,4005.904244101841
1225,4188.211574583475
1226,3953.5981374335306
1227,3946.375627295486
1228,3835.406061985167
1229,4105.983179389416
1230,4114.801617408866
1231,3988.888750151461
1232,3830.5663328072455
1233,4254.158916839096
1234,3965.474422609496
1235,3633.433879207049
1236,3784.5600808947647
1237,3989.495462634285
1238,4169.620817688559
1239,4179.836178578538
1240,3803.7989694461126
1241,4184.262814889169
1242,4178.259298493231
1243,4019.5342039858483
1244,4389.010171574058
1245,3867.2154586939573
1246,4335.396647280087
1247,3788.857338723803
1248,4243.700191836613
1249,4054.535374496964
1250,3941.418043187802
1251,3581.628326850272
1252,4051.2055742372763
1253,4153.581983564583
